source	target
bpuinnte	bpointe
caithtí	caití
Bead-sa	Beidh mise
nidh	ní
chúluigh	chúlaigh
uatha	uathu
fé'n	faoin
breágh	breá
éadtrom	éadrom
go dtáinig	gur tháinig
ós cionn	os cionn
chéana	cheana
do thuit	thit
do-fheicse	dofheicthe
fé	faoi
talmhan	talún
nidh	ní
iongantaighe	iontaí
d'á	dá
bhfeaca	bhfaca
Mhothuigheas	Mhothaigh mé
comhacht	cumhacht
im'	i mo
choinnibh	choinne
am'	i mo
éadtruime	éadroime
ná fuil	nach bhfuil
thairis	thar
annsan	ansin
Tugaimís	Tugaimis
ná fuil	nach bhfuil
comhgarach	cóngarach
tré sna	trí na
claidhe	claí
sconnsa	sconsa
cruadha	crua
ruibéir	rubair
breágh	breá
Thá	Tá
úrláir	urláir
siubhal	siúl
chughainn	chugainn
sórd	sórt
Leanbhaí	Leanaí
éadaighe	éadaí
ortha	orthu
aca	acu
ar leath-taoibh	ar leataobh
dhóibh	dóibh
ag béicigh	ag béicíl
liúraigh	liúrach
leanbhaí	leanaí
saoghalta	saolta
aca	acu
éadtruime	éadroime
nidh	ní
chloisint	chloisteáil
aca	acu
Raghad-sa	Rachaidh mise
chúcha	chucu
déanfad	déanfaidh mé
leanbhaí	leanaí
tarna	dara
Do dhein	Rinne
tarna	dara
tríomhadh	tríú
cráidhte	cráite
brúighte	brúite
bascaithe	basctha
leanbhaí	leanaí
gháiridhe	gháire
fé	faoi
leanbhaí	leanaí
saoghalta	saolta
gáiridhe	gáire
fé	faoi
chleasuidhe	chleasaí
de'n	den
leagadh	leagan
d'á	dá
aoirde	airde
ortha	orthu
Mara	Mura
de'n	den
san	sin
Níor dhein	Ní dhearna
gháiridhe	gháire
chasóig	chasóg
theastuigheann	theastaíonn
droch-aigne	drochaigne
tharraing	tharraingt
droch-mhúineadh	drochmhúineadh
so	seo
gáiridhe	gáire
Déanfad-sa	Déanfaidh mise
comharthaí	comhartha
do dhruid	dhruid
fé	faoi
leanbhaí	leanaí
saoghalta	saolta
stróinséir	strainséir
raghadh	rachadh
leanbhaí	leanaí
ana-shult	an-sult
tuitim	titim
gcosaibh	gcosa
gáiridhe	gáire
d'á	dá
chúcha	chucu
eadh	ea
leig	lig
ortha	orthu
Éistidh	Éisteacht
árd	ard
Do labhair	Labhair
breágh	breá
Féachaidh	Féachaigí
ó'n	ón
n-eiteallán	n-eitleán
Do dhein	Rinne
comharthaí	comhartha
le n-a	lena
do chuir	chuir
ad	i do
dheanamh	dhéanamh
eitealláin	eitleáin
Níor dhein	Ní dhearna
leanbhaí	leanaí
méireanna	méara
asta	astu
annsan	ansin
éirghe	éirí
doibh	dóibh
ná fuil	nach bhfuil
ionnam	ionam
cleasuidhe	cleasaí
Caithfimíd	Caithfimid
i n-áit	in áit
Fanaidh	Fanaigí
nóimeat	nóiméad
chughainn	chugainn
